review_text,review_title,rating,date,platform,app_version
"Love this app, makes managing money so easy!","Great app",5,2026-03-01,app_store,4.3.0
"The app crashes every time I try to check my statement.","Crashes on statements",1,2026-03-02,app_store,4.3.0
"KYC process took forever and kept failing. Very frustrating experience.","KYC issues",2,2026-03-03,app_store,4.3.0
"Payments are smooth and instant. Best finance app I have used.","Smooth payments",5,2026-03-04,app_store,4.3.0
"Withdrawal feature is broken. Tried 5 times and nothing happened.","Broken withdrawals",1,2026-03-05,app_store,4.3.0
"The onboarding was confusing. I almost gave up signing up.","Bad onboarding",2,2026-03-06,app_store,4.3.0
"App is decent but the UI feels outdated compared to competitors.","Outdated UI",3,2026-03-07,app_store,4.3.0
"I love the instant notifications for every transaction.","Great notifications",5,2026-03-08,app_store,4.3.0
"Customer support never responds. Been waiting 2 weeks for a reply.","No support",1,2026-03-09,app_store,4.3.0
"Finally a finance app that actually works. Highly recommend!","Works great",5,2026-03-10,app_store,4.3.0
"App crashes randomly on my iPhone 13. Needs urgent fix.","Random crashes",1,2026-03-11,app_store,4.3.0
"Easy to transfer money between accounts. Very convenient.","Easy transfers",4,2026-03-12,app_store,4.3.0
"My account got locked after KYC and no one can help me unlock it.","Account locked after KYC",1,2026-03-13,app_store,4.3.0
"Statements download feature is fantastic. Saves me a lot of time.","Good statements",4,2026-03-14,app_store,4.3.0
"Payment failed three times today. Lost confidence in this app.","Payment failures",1,2026-03-15,app_store,4.3.1
"Very intuitive interface. Found everything I needed quickly.","Intuitive UI",5,2026-03-16,app_store,4.3.1
"Withdrawal got stuck for 4 days. No update from the app or support.","Stuck withdrawal",1,2026-03-17,app_store,4.3.1
"KYC keeps asking for same documents again and again.","Repetitive KYC",2,2026-03-18,app_store,4.3.1
"App lags badly when scrolling through transaction history.","Laggy transactions",2,2026-03-19,app_store,4.3.1
"Best banking app available. Fast, clean, and reliable.","Best banking app",5,2026-03-20,app_store,4.3.1
"Onboarding took 45 minutes. Way too many steps for a simple account.","Too many steps",2,2026-03-21,app_store,4.3.1
"Support team finally responded after 10 days. Unacceptable.","Slow support",1,2026-03-22,app_store,4.3.1
"The bill payment feature saved me from late fees. Thank you!","Bill payments work",5,2026-03-23,app_store,4.3.1
"Crashes when I try to add a new beneficiary. Very annoying.","Crash on beneficiary",1,2026-03-24,app_store,4.3.1
"Dark mode would be really nice. The white screen hurts my eyes at night.","Need dark mode",3,2026-03-25,app_store,4.3.1
"Withdrawal to bank account took 5 business days. Way too slow.","Slow withdrawal",2,2026-03-26,app_store,4.3.1
"I can see all my expenses categorized. Really helpful for budgeting.","Good budgeting",4,2026-03-27,app_store,4.3.1
"KYC verification video call kept disconnecting. Had to try 4 times.","KYC video issues",1,2026-03-28,app_store,4.3.1
"App is smooth and fast on my new iPhone. No complaints.","Fast and smooth",5,2026-03-29,app_store,4.3.1
"Customer care chat bot is useless. Cannot solve any real problem.","Useless chatbot",1,2026-03-30,app_store,4.3.1
